index,name,year,composer,type
11964,Wilson/Seabiscuits.mid,n/a,"Bolcom, William",Y
12157,Wilson/Show-Me Rag  The.mid,1966,"Tichenor, Trebor Jay",Y
12175,Wilson/Shy And Sly.mid,1915,"Roberts, C. ""Lucky""",F
12219,Wilson/Silver Rocket.mid,1966,"Marshall, Arthur",R
12451,Wilson/Snoring Sampson.mid,1907,"La Mertha, Harry (arr. Joplin, Scott)",S
12468,Wilson/So Here We Are.mid,1930,"Lamb, Joseph F.",S
12734,Wilson/Spooney Hollow.mid,1920,"Mills, Kerry",S
13222,Wilson/Sweet Sixteenths.mid,1976,"Albright, William",Y
13468,Wilson/Teasing Rag.mid,1912,"Pratt, Paul Charles",R
13532,Wilson/Tennessee Synkopes.mid,1964,"Morath, Max",Y
13645,Wilson/That Dying Rag.mid,1907,"Adler, Bernard ",S
13726,Wilson/That Madrid Rag.mid,1911,"Lenzberg, Julius",R
13983,Wilson/Thoroughbred Rag.mid,1960,"Lamb, Joseph F.",R
14111,Wilson/Titanic Rag.mid,1971,"Wilson, Paul F.",Y
14121,Wilson/Toad Stool Rag.mid,n/a,"Lamb, Joseph F.",R
14249,Wilson/Traumerei.mid,1925,"Confrey, Zez",N
14295,Wilson/Tribute To Joplin.mid,1964,"Morath, Max",Y
14314,Wilson/Trillium Rag.mid,1964,"Shea, Thomas W.",Y
14748,Wilson/Waiting For The Robert E. Lee .mid,1912,"Muir*, Lewis F.",S
15083,Wilson/When Your Hair Is Like The Snow.mid,1907,"Joplin, Scott",S
15137,Wilson/Whistling Rag  The.mid,1911,"Berlin, Irving",S
15138,Wilson/Whistling Rufus.mid,1899,"Mills, Kerry",M
20,Pitt-Payne/12th Street Rag .mid,1919,"Bowman, Euday L.",S
67,Pitt-Payne/Aba Daba Honeymoon  The.mid,1914,"Fields, Arthur & Donovan, Walter",S
75,Pitt-Payne/Abraham Lincoln Jones.mid,1909,"Mack*, Cecil & Smith, Chris",S
73,Pitt-Payne/Abraham.mid,1904,"Von Tilzer, Harry",S
99,Pitt-Payne/Aero-Rag  The.mid,1910,"Grant, Bert F.",R
110,Pitt-Payne/African Glide  The.mid,1910,"Duffy, James T.",S
112,Pitt-Payne/African Hunter  The.mid,1909,"Kendall, Edwin F. ",R
118,Pitt-Payne/African Smile    An.mid,n/a,"Eno, Paul",M
128,Pitt-Payne/After All These Years.mid,1936,"Brooks, Shelton",S
138,Pitt-Payne/After The Cake Walk.mid,1900,"Dett, Nathaniel",M
143,Pitt-Payne/After You Get What You Want You Don't Want It.mid,1920,"Berlin, Irving",S
148,Pitt-Payne/Aggravation Rag.mid,1910,"Cobb, George L.",R
149,Pitt-Payne/Agitation Rag.mid,1915,"Hampton, Robert",R
155,Pitt-Payne/Ain't Dat A Shame?.mid,1901,"Wilson, Walter",S
160,Pitt-Payne/Ain't It Funny.mid,1912,"Bennett, Theron C.",S
165,Pitt-Payne/Ain't She Sweet? .mid,1927,"Ager, Milton",S
166,Pitt-Payne/Ain't That A Grand And Glorious Feeling?.mid,1927,"Yellen, Jack & Ager, Milton",F
167,Pitt-Payne/Ain't That Some Rag ?.mid,1912,"Payne, Jack",S
168,Pitt-Payne/Ain't That Too Bad?.mid,1927,"Endor, Chuck & Ward, Eddie",S
170,Pitt-Payne/Ain't You Coming Out Tonight.mid,1909,"Blanke, Henrietta B. ",S
185,Pitt-Payne/Alabama Ball.mid,1918,"Beatty, Al W.",S
188,Pitt-Payne/Alabama Blossoms.mid,1905,"Edwards, Orlando",M
196,Pitt-Payne/Alabama Cotton Ball.mid,1914,"Clark, Tommie",S
205,Pitt-Payne/Alabama Jubilee .mid,1915,"Cobb, George L.",S
232,Pitt-Payne/Alagazam!.mid,1902,"Holzmann, Abe",M
236,Pitt-Payne/Alamo Rag.mid,1910,"Wenrich, Percy",S
237,Pitt-Payne/Alarm Clock Blues.mid,1921,"Steiger, Jimmy & Fier, Neuman",S
247,Pitt-Payne/Alcoholic Blues  The.mid,1919,"Von Tilzer, Albert",S
250,Pitt-Payne/Alexander's Back From Dixie With His Rag-time Band.mid,1917,"Wendling, Pete",S
251,Pitt-Payne/Alexander's Bag-Pipe Band.mid,1912,"Goetz, E. Ray, Sloane, Baldwin & Berlin, Irving ",S 
257,Pitt-Payne/Alexander's Ragtime Band .mid,1911,"Berlin, Irving",S
258,Pitt-Payne/Alfalfa.mid,1910,"Ryan, Frank W.",R
259,Pitt-Payne/Alfredo Rag  The.mid,1916,Alfredo,R
271,Pitt-Payne/All Aboard For Chinatown.mid,1915,"Brookhouse, Winthrop",S
272,Pitt-Payne/All Aboard For Dixie Land.mid,1913,"Cobb, George L.",S
273,Pitt-Payne/All Aboard The Ragtime Train.mid,1917,"Hutchinson, Edward ",S
278,Pitt-Payne/All Coons Look Alike To Me.mid,1896,"Hogan, Ernest",S
282,Pitt-Payne/All I Do Is Dream Of You.mid,1934,"Brown, Nacio Herb",S
283,Pitt-Payne/All I Want Is Ma Chickens.mid,1899,Deas & Wilson,S
286,Pitt-Payne/All Is Over When The Bells Begin To Ring.mid,1913,"Gumble, Albert",S
287,Pitt-Payne/All Muddled Up.mid,1922,"Wenrich, Percy",S
297,Pitt-Payne/All The Candy.mid,1907,"Kelly, E. Harry",R
301,Pitt-Payne/All The Money.mid,1908,"Johnson, Charles L. (as Birch, Raymond)",M
302,Pitt-Payne/All The Quakers Are Shoulder Shakers.mid,1919,"Wendling, Pete",S
309,Pitt-Payne/Allen Glide  The.mid,1915,"Allen, Louise",R
334,Pitt-Payne/Am I Blue?.mid,1929,"Akst, Harry",S
349,"Pitt-Payne/America, I Love You.mid",1915,"Gottler**, Archie",S
356,Pitt-Payne/American Dancers  The.mid,1908,"Alden, Bob",R
358,Pitt-Payne/American Jubilee.mid,1916,"Claypoole, Edward B. ",R
363,Pitt-Payne/American Rag Time  The.mid,1908,"Cohan, George M.",S
375,Pitt-Payne/Amo.mid,1909,"Ingraham, Herbert",I
380,Pitt-Payne/Anaconda Two-Step.mid,1901,"Grant, Sylvester B.",R
384,Pitt-Payne/Ancient Coon  The.mid,1900,"Sullivan, A.",M
385,Pitt-Payne/And He'd Say Oo-La La! Wee-Wee.mid,1919,"Ruby, Harry & Jessel, George",S
388,Pitt-Payne/And They Called It Dixieland.mid,1916,"Whiting, Richard A.",S
396,Pitt-Payne/Angel Food.mid,1911,"Marzian, Al F.",R
400,Pitt-Payne/Angle-Worm Wiggle  The.mid,1910,"Lorch, Harry S.",S
408,Pitt-Payne/Anna Lou From Kalamazoo.mid,1907,"Klein, William",S
424,Pitt-Payne/Another Rag.mid,1911,"Morse, Theodore F.",S
436,Pitt-Payne/Anti-Rag-time Girl.mid,1913,"Janis, Elsie",S
434,Pitt-Payne/Antiquary.mid,1926,"Mayerl, Billy",N
438,"Pitt-Payne/Any Ice To-Day, Lady?.mid",1926,"Ballard, Pat",S
439,Pitt-Payne/Any Ice?.mid,1904,"Potter, Bert",S
441,Pitt-Payne/Any Old Place I Can Hang My Hat.mid,1901,"Schwartz, Jean",S
445,Pitt-Payne/Any Old Time At All.mid,1906,"Schwartz, Jean",S
446,Pitt-Payne/Any Rags?.mid,1903,"Allen, Thomas S.",R
450,Pitt-Payne/Anything Is Nice If It Comes From Dixieland.mid,1919,"Clarke, Grant, Meyer, George W. & Ager, Milton",S
463,Pitt-Payne/Apple Jack.mid,1909,"Johnson, Charles L.",R
470,Pitt-Payne/Apple Tree And The Bumble Bee  The.mid,1913,"Berlin, Irving",S
476,Pitt-Payne/April Fool Rag.mid,1911,"Schwartz, Jean",R
488,Pitt-Payne/Arabian Nights.mid,1900,"Johnson, Alice",R
491,Pitt-Payne/Araby.mid,1915,"Berlin, Irving",S
498,Pitt-Payne/Arctic Brotherhood.mid,1909,"Pepin, Gedeon",R
501,Pitt-Payne/Are We Downhearted? No!.mid,1928,"Davis, Benny & Gottler**, Archie",S
506,Pitt-Payne/Arithmetic Of Love.mid,1916,"Metcalf, F. C. & Smythe, Billy",S
551,Pitt-Payne/At A Darktown Cakewalk.mid,1899,"Hale, Charles",M
552,Pitt-Payne/At A Georgia Campmeeting.mid,1897,"Mills, Kerry",M
561,Pitt-Payne/At An Ole Virginia Wedding.mid,1899,"Steinberg, Maurice J.",R
562,Pitt-Payne/At Coontown's Picnic.mid,1899,"Liné, Hans S.",M
566,Pitt-Payne/At That Bully Wooly Wild West Show.mid,1913,"Abrahams, Maurice",R
570,"Pitt-Payne/At The Ball, That's All.mid",1913,"Hill, J. Leubrie",R
574,Pitt-Payne/At The Coffee Cooler's Tea.mid,1918,"Sullivan, Alex & De Costa, Harry",S
577,Pitt-Payne/At The Dixie Military Ball.mid,1918,"Carroll, Harry",S
582,Pitt-Payne/At The High Brown Babies' Ball.mid,1919,"Davis, Benny, Erdman, Sid & Erdman, Ernie",S
585,Pitt-Payne/At The Jazz Band Ball.mid,1917,"La Rocca, Dominic J. & Shields, Larry",S
587,Pitt-Payne/At The Mississippi Cabaret.mid,1914,"Gumble, Albert",S
594,Pitt-Payne/At The Ragtime Ball.mid,1911,"Monaco, James V.",S
597,Pitt-Payne/At The Yiddish Cabaret.mid,1913,"Muir*, Lewis F.",S
599,Pitt-Payne/At Uncle Tom's Cabin Door.mid,1912,"Cowan, Rubey",S
590,Pitt-Payne/At the Panama Pacific Fair .mid,1914,"King, Laura Schick",S
611,Pitt-Payne/Audacious Arabella.mid,1900,"Rion, Hanna",M
625,Pitt-Payne/Aunt Hannah.mid,1900,"Loraine, William",M
626,Pitt-Payne/Aunt Jane.mid,1905,"Van Alstyne, Egbert",I
633,Pitt-Payne/Aunt Jemina Slide  The.mid,1917,"Johnson, Karl",S
634,Pitt-Payne/Aunt Mandy's Wedding.mid,1899,"Tyers, William H.",M
639,Pitt-Payne/Auntie Skinner's Chicken Dinner.mid,1915,"Morse, Theodore F.",S
651,Pitt-Payne/Auto Girl  The.mid,1914,"Kohler, Carl",S
650,Pitt-Payne/Auto Girl.mid,1906,"Pulfrey, Herbert G.",M
656,Pitt-Payne/Automobile.mid,1907,"De Haven, Rose",M
671,Pitt-Payne/Aviation Rag.mid,1910,"Janza, Mark (prob. Marzian, Al F.)",M
672,Pitt-Payne/Aviator Rag  The.mid,1910,"Giblin, Irene M.",R
688,Pitt-Payne/Baby Blue.mid,1910,"Schwartz, Jean",I
710,Pitt-Payne/Bacchanal Rag  The.mid,1912,"Hirsch, Louis A.",R
711,Pitt-Payne/Bachelor Days.mid,1916,"Hirsch, Louis A.",S
713,Pitt-Payne/Bachelors Button.mid,1909,"Polla, William C. (as Powell, W. C.)",I
722,Pitt-Payne/Back To Life.mid,1905,"Hunter, Charles H.",R
734,Pitt-Payne/Bad News Blues.mid,1923,"Akst, Harry",S
740,Pitt-Payne/Bake Dat Chicken Pie.mid,1906,"Dumont, Frank",S
749,Pitt-Payne/Ballin' The Jack .mid,1913,"Smith, Chris & Europe, James Reese",S
750,Pitt-Payne/Balloon Rag.mid,1911,"Lafrenière, Jean-Baptiste",R
757,Pitt-Payne/Baltimore Buck.mid,1905,"Brown, Harry",R
758,Pitt-Payne/Baltimore Buzz.mid,1921,"Sissle, Noble & Blake, Eubie",S
764,Pitt-Payne/Bam Bam Bamy Shore.mid,1925,"Henderson, Ray",S
766,Pitt-Payne/Bamboo Lane.mid,1909,"Schwartz, Jean",S
776,Pitt-Payne/Band! Band! Band!.mid,1910,"Ayer, Nat D.",S
804,Pitt-Payne/Barber Pole Rag  The.mid,1911,"Johnson, Charles L.",R
821,Pitt-Payne/Barnum And Bailey Rag.mid,1915,"Cohan, George M.",S
834,Pitt-Payne/Base Ball Rag.mid,1910,"Wulff, Mata",R
838,"Pitt-Payne/Bashful Bachelor, A.mid",1905,"Ritchie, J. Lawrence",I
850,Pitt-Payne/Bayside Fox Trot.mid,1914,"Winne, Jesse M.",F
860,Pitt-Payne/Beans ! Beans ! Beans !.mid,1912,"Smith, Chris",S
872,Pitt-Payne/Beautiful Eyes.mid,1909,"Snyder, Ted",S
879,Pitt-Payne/Beautiful Spooney Isle.mid,1912,"Robinson, Harry I.",S
884,Pitt-Payne/Becky's Got A Job In A Musical Show.mid,1912,"Berlin, Irving",S
887,Pitt-Payne/Bee That Gets The Honey  The.mid,1906,"Helf, J. Fred",S
891,Pitt-Payne/Beedy-Boo.mid,1919,"Brown, Herb",S
899,Pitt-Payne/Bees Wax.mid,1911,"Lincoln, Harry J.",R
903,Pitt-Payne/Beets And Turnips.mid,1915,"Hess, Cliff & Ahlert, Fred E.",R
913,Pitt-Payne/Bell Hop Rag  The.mid,1914,"Bryan, Frederick M. ",R
918,Pitt-Payne/Belle Of Honolulu  The.mid,1898,"Johnson, Lee",S
919,Pitt-Payne/Belle Of Koontucky.mid,1897,"Zickel, Harry H.",R
923,Pitt-Payne/Belle Of Richmond.mid,1902,"Liné, Hans S.",M
925,Pitt-Payne/Belle Of The Cakewalk.mid,1897,"O'Connor, Lawrence B.",M
932,Pitt-Payne/Belles Of Dixie  The.mid,1905,"Rice, Charles E.",M
958,Pitt-Payne/Beside The Sea At Waikiki.mid,1916,"Lange, Arthur W.",S
980,Pitt-Payne/Big Chief Battle-Axe.mid,1907,"Allen, Thomas S.",S
1007,Pitt-Payne/Billikin Rag.mid,1913,"Stark, E. J.",R
1018,Pitt-Payne/Bing! Bing!.mid,1915,"Kaufman, Mel B.        ",I
1020,Pitt-Payne/Bingo.mid,1910,"Losey, Frank Hoyt",R
1081,Pitt-Payne/Black Cupid's Birthday.mid,1898,"Stephens, T. Palmer",M
1088,Pitt-Payne/Black Feather Two Step.mid,1908,"Giblin, Irene M.",R
1123,Pitt-Payne/Black Wasp Rag.mid,1911,"Fischler, Harry A.",R
1139,Pitt-Payne/Blackville Strutters Ball  The.mid,1900,"Williams, Bert A. & Walker, George W.",S
1142,Pitt-Payne/Blame It On The Blues.mid,1914,"Cooke, Charles L.",B
1145,Pitt-Payne/Blarney Kisses.mid,1911,"Travis, J. Holmes",R
1182,Pitt-Payne/Blue Danube Blues.mid,1921,"Kern, Jerome",S
1183,Pitt-Payne/Blue Devils Of France  The.mid,1918,"Berlin, Irving",S
1185,Pitt-Payne/Blue Eyed Sue.mid,1904,"Europe, James Reese",S
1201,Pitt-Payne/Blue Hoosier Blues.mid,1923,"Friend, Cliff, Meskill, Jack & Baer, Abel",S
1205,Pitt-Payne/Blue Lament.mid,1934,"Bishop, Joe",S
1211,Pitt-Payne/Blue Moments.mid,1932,"Henderson, Fletcher",N
1218,Pitt-Payne/Blue Note.mid,1922,"James, Billy",B
1252,Pitt-Payne/Blue-Eyed Sally.mid,1924,"Bernard, Al & Robinson, J. Russel",S
1259,Pitt-Payne/Blues My Naughty Sweetie Gives To Me.mid,1919,"Swanstone, Arthur N.",S
1263,Pitt-Payne/Bluffton Carnival Rag  The.mid,1899,"Karns, Verdi",R
1295,Pitt-Payne/Bo-La-Bo.mid,1919,"Fairman, George W.",S
1288,Pitt-Payne/Bohemia Rag.mid,1912,"Hall, Nick",S
1293,Pitt-Payne/Boiled Owl.mid,1911,"Woodin, Margaret",R
1302,Pitt-Payne/Bolo Rag  The .mid,1909,"Gumble, Albert",S
1308,Pitt-Payne/Bon Bon Buddy.mid,1907,"Cook, Will Marion",S
1309,Pitt-Payne/Bon Marche  The.mid,1904,"Berger, John J.",M
1314,Pitt-Payne/Bone-Dry.mid,1918,"Landfield, Sidney",F
1331,Pitt-Payne/Boo-loo Beau.mid,1910,"Hill, J. Leubrie",S
1333,Pitt-Payne/Boom-e-Rag  The.mid,1898,"Crosby, Warner",M
1341,Pitt-Payne/Bootblack Rag  The.mid,1911,"Whitney, Fred",S
1343,Pitt-Payne/Border Blues.mid,1916,"Surber, Guy A.",B
1346,Pitt-Payne/Borneo Rag.mid,1911,"Daniels, Charles N. (as Morét, Neil)",R
1348,Pitt-Payne/Bos'n Rag  The.mid,1899,"Stone, Fred S.",R
1358,Pitt-Payne/Bouncing Betty.mid,1906,"Balfour, Carl",N
1359,Pitt-Payne/Bouncing On The Keys.mid,1924,"Claypoole, Edward B. ",N
1379,Pitt-Payne/Brain-Storm Rag.mid,1907,"Stark, E. J. (as Manchester, Bud)",R
1381,"Pitt-Payne/Bran Dance Shuffle, A.mid",1902,"Harrison, Wade",R
1389,Pitt-Payne/Brazilian Nut  The.mid,1915,"Wolerstein, Sol",R
1423,Pitt-Payne/Bring Back The Old Hurdy Gurdy.mid,1959,"Orlob, Harold",S
1427,Pitt-Payne/Bring On The Pepper.mid,1922,"Berlin, Irving",S
1431,Pitt-Payne/Britannia Rag.mid,1952,"Atwell, Winifred & Warlock, Monty",Y
1466,Pitt-Payne/Brother-'N-Law Dan.mid,1922,"Jordan, Joe",S
1474,Pitt-Payne/Brown Paper.mid,n/a,"Bryer, George",R
1492,Pitt-Payne/Bubi.mid,1913,"Kollo, Walter",F
1496,Pitt-Payne/Buck Shots.mid,1924,"Wendling, Pete & Kortlander, Max",N
1505,Pitt-Payne/Bud Rag.mid,1909,"Cross, Budd L.",R
1511,Pitt-Payne/Budgery Feller.mid,1919,"Godfrey, Jack",R
1517,Pitt-Payne/Buffalo Means Business.mid,1909,"Cobb, George L.",S
1543,Pitt-Payne/Bull Frog Blues.mid,1916,"Brown, Tom & Shrigley, Guy",F
1549,Pitt-Payne/Bull-Frog and the Coon  The.mid,1906,"Nathan, Joseph S.",S
1553,Pitt-Payne/Bully's Weddin' Night    De.mid,1896,"Cavanagh, J. W.",S
1566,Pitt-Payne/Bunch Of Noise.mid,1908,"Mentel, Louis H.",R
1576,Pitt-Payne/Bunny-Boy.mid,1912,"Gatty, Eric C.",R
1579,Pitt-Payne/Burglar's Dream  The.mid,1912,"Ewing, Montague",N 
1585,Pitt-Payne/Burning The Keys.mid,1928,"Marine, Robert",N
1593,Pitt-Payne/Business Is Business.mid,1911,"Berlin, Irving",S
1596,Pitt-Payne/Buster Rag.mid,1915,"Powell, Bessie M.",R
1604,Pitt-Payne/Butcher Rag.mid,1912,"Mentel, Louis H.",R
1617,Pitt-Payne/Buxton Slow Drag.mid,1907,"Lewis, Leonard",R
1618,Pitt-Payne/Buy A Bale Of Cotton.mid,1914,"Muir*, Lewis F.",S
1625,Pitt-Payne/By Heck .mid,1914,"Henry*, S. R.",S
1626,Pitt-Payne/By The Beautiful Sea.mid,1914,"Carroll, Harry",S
1627,Pitt-Payne/By The Big Blue Billabong.mid,1918,"Hall, Frederick",S
1629,Pitt-Payne/By The Light Of The Silvery Moon.mid,1909,"Edwards, Gus",S
1633,Pitt-Payne/By The Susquehanna Shore.mid,1914,"Silvers, Louis",S
1643,Pitt-Payne/C.O.D..mid,1916,"Kaufman, Mel B.        ",N
1645,"Pitt-Payne/Cabaret 'neath The Old Egyptian Moon, A.mid",1915,"Hanley, James Frederick",S
1651,Pitt-Payne/Caberavings.mid,1914,"Whiting, Richard A.",R
1660,Pitt-Payne/Cactus Rag  The.mid,1916,"Gibson, Lucian Porter",R
1681,Pitt-Payne/Cake Walk From The Follies Of 1911.mid,1911,"Hubbell, John Raymond",R
1683,Pitt-Payne/Cake Walk In The Sky  The.mid,1899,"Harney, Ben",R
1687,Pitt-Payne/Cake Walk Queen    De.mid,1900,"Stromberg, John",S
1713,Pitt-Payne/Cake-Walk Patrol  The.mid,1895,"Krell, William H.",R
1730,Pitt-Payne/Calicoco.mid,1917,"Frey, Hugo",F
1735,Pitt-Payne/California Here I Come.mid,1924,"Meyer, Joseph, Jolson, Al & De Sylva, Bud G.",S
1741,Pitt-Payne/Caliope Rag.mid,1911,"Hartlaub, Sylvester & Hartlaub, Charles",R
1742,Pitt-Payne/Call A Taxicab.mid,1910,"Frank, Albert B.",S
1746,Pitt-Payne/Call Me Up Some Rainy Afternoon.mid,1910,"Berlin, Irving",S
1764,Pitt-Payne/Campin' On De Ole Suwanee.mid,1899,"Smith, Lee Orean",M
1769,Pitt-Payne/Campus Capers.mid,1908,"Sabath, Albert",I
1773,Pitt-Payne/Can She Rag ?.mid,1913,Williams & Donavin,S
1787,Pitt-Payne/Candied Cherries.mid,1911,"Denni, Lucien",R
1793,Pitt-Payne/Candle-Stick Rag.mid,1910,"Olman, Abe",R
1806,Pitt-Payne/Canned Corn.mid,1910,"Cobb, George L.",R
1841,Pitt-Payne/Car-Barlick-Acid.mid,1901,"Wiley, Clarence C. ",R
1855,Pitt-Payne/Careless Sam.mid,1900,"Davies, John H.",R
1861,Pitt-Payne/Carmenita.mid,1911,"Jentes, Harry",R
1863,Pitt-Payne/Carnation.mid,1902,"Douglass, Clyde D. [att. to Joplin, Scott]",R
1869,Pitt-Payne/Carnival Times.mid,1905,"Bennett, Theron C.",M
1887,Pitt-Payne/Carolina Shout.mid,1921,"Johnson, James P.",N
1891,Pitt-Payne/Carolina Tar Heel.mid,1899,"Sullivan, Dan J.",R
1899,Pitt-Payne/Carpet Rags.mid,1903,"Conner, Raymond W. ",M
1908,Pitt-Payne/Carus Breeze  The.mid,1914,"Glogau, Jack",F
1912,Pitt-Payne/Casey Jones.mid,1909,"Newton, Eddie",S
1920,Pitt-Payne/Castle Maxixe.mid,1914,"Europe, James Reese & Dabney, Ford T.",P
1926,Pitt-Payne/Castle Walk  The.mid,1913,"Europe, James Reese & Dabney, Ford T.",N
1934,Pitt-Payne/Cat On The Keyboard  The.mid,1915,"Stafford, Harry",R
1937,Pitt-Payne/Catch of Tokio  The.mid,1906,"Dean, H. E.",N
1956,Pitt-Payne/Cavalier Rustican' Rag.mid,1910,"Van Alstyne, Egbert",S
1959,Pitt-Payne/Cazador.mid,1904,"Berger, H.  L. ",R
1969,Pitt-Payne/Celebratin' Day In Tennessee.mid,1914,"Glogau, Jack",S
1974,Pitt-Payne/Celebrity  The.mid,1904,"Oakford, S. S.",M
2016,Pitt-Payne/Charcoal.mid,1903,"Cooke, S. Gibson",M
2037,Pitt-Payne/Chasing The Chickens.mid,1917,"Walker, Raymond & Olman, Abe",F
2042,Pitt-Payne/Chattanooga Blues .mid,1914,"Seidel, Isadore",S
2046,Pitt-Payne/Chauffeur  The.mid,1906,"Cobb, George L.",P
2050,Pitt-Payne/Checker Rag.mid,1911,"Goldsmith, Dan",R
2060,Pitt-Payne/Cheerful Blues.mid,1917,"Olman, Abe",B
2061,Pitt-Payne/Cheerful Charlie Jones.mid,1905,"Janssen, Benjamin H.",R
2073,Pitt-Payne/Cherry Leaf Rag.mid,1909,El Cota,R
2070,Pitt-Payne/Cherry.mid,1905,"Daniels, Charles N. (as L'Albert)",I
2079,Pitt-Payne/Chevy Chase  The.mid,1914,"Blake, Eubie",R
2084,Pitt-Payne/Cheyenne (Shy Ann).mid,1905,"Van Alstyne, Egbert",S
2100,Pitt-Payne/Chicken Charlie.mid,1905,"Ballou, Ashley M.",R
2101,Pitt-Payne/Chicken Chowder.mid,1905,"Giblin, Irene M.",R
2106,Pitt-Payne/Chicken Patty.mid,1908,"Morse, Theodore F.",R
2109,Pitt-Payne/Chicken Pie.mid,1929,"Doucet, Clément",R
2112,Pitt-Payne/Chicken Rag  The.mid,1911,"Brockman, James",S
2114,Pitt-Payne/Chicken Reel .mid,1911,"Daly, Joseph M.",S
2117,Pitt-Payne/Chicken Tango.mid,1914,"Stark, E. J.",R
2130,Pitt-Payne/Chili Con Carne.mid,1911,"Griffith, Elmer B.",R
2136,Pitt-Payne/Chilli-Billi-Bee Rag.mid,1910,"Muir*, Lewis F.",R
2140,Pitt-Payne/Chimes.mid,1910,"Denney, Homer",R
2154,Pitt-Payne/Chin-Chin Chinaman.mid,1917,"Hanley, James F.",S
2147,Pitt-Payne/China Boy.mid,1922,"Winfree, Dick & Boutelje, Phil ",S
2153,"Pitt-Payne/Chinatown, My Chinatown.mid",1910,"Schwartz, Jean",S
2161,Pitt-Payne/Ching Chong.mid,1917,"Roberts, Lee S.",S
2188,Pitt-Payne/Chop-House Rag  The.mid,1911,"Fowler, Edna May",S
2211,Pitt-Payne/Chrysanthemum  The.mid,1904,"Joplin, Scott",I
2233,Pitt-Payne/Circles.mid,1910,"Jayhon, Emil E.",R
2236,Pitt-Payne/Circus Day In Dixie.mid,1915,"Gumble, Albert",S
2277,Pitt-Payne/Cleopatra Had A Jazz Band.mid,1917,"Coogan, Jack",S
2287,Pitt-Payne/Climax Rag.mid,1914,"Scott, James",R
2295,Pitt-Payne/Clorinda.mid,1901,"Haines, Chauncey",M
2300,Pitt-Payne/Clothilda.mid,1905,"Niebergall, Julia Lee",M
2302,Pitt-Payne/Cloud Kisser.mid,1911,"Johnson, Charles L. (as Birch, Raymond)",R
2306,Pitt-Payne/Cloud-Chief.mid,1910,"Philie, J. Ernest",I
2311,Pitt-Payne/Clover Club.mid,1918,"Arndt, Felix",F
2347,Pitt-Payne/Cohan's Rag Babe.mid,1908,"Cohan, George M.",S
2353,Pitt-Payne/Coldwater Rag.mid,1913,"Cloud, Mollie F. ",R
2354,Pitt-Payne/Cole Smoak.mid,1906,"St John, Clarence H.",R
2357,Pitt-Payne/Collars And Cuffs.mid,1907,"St John, Clarence H.",R
2361,Pitt-Payne/College Inn Rag  The.mid,1915,"Carroll, Harry",S
2371,Pitt-Payne/Colonial Rag.mid,1914,"Ball, Ernest R. & Lenzberg, Julius",R
2377,Pitt-Payne/Colored Aristocracy.mid,1899,"Bernard, Gus W.  ",R
2388,Pitt-Payne/Colored Fireworks.mid,1904,"O'Hara, Geoffrey (as De Vere, Geoffrey). ",M
2391,Pitt-Payne/Colored Major  The.mid,1900,"Henry*, S. R.",M
2394,Pitt-Payne/Colored Romeo.mid,1910,"Snyder, Ted",S
2396,Pitt-Payne/Columbia.mid,1910,"Giblin, Irene M.",R
2408,Pitt-Payne/Come Along To Honeymoon Land.mid,1912,"Smith, Henry Clay",S
2418,"Pitt-Payne/Come Ma' Honey, Come.mid",1913,"Wilkens, Verna",S
2420,Pitt-Payne/Come On And Kiss Your Baby.mid,1907,"Clark, Sadie",S
2432,Pitt-Payne/Come To The Beautiful Ragtime Ball.mid,1915,"Cormack, Rennie, Vanderveer, Billy & Gaskill, Clarence ",S
2440,Pitt-Payne/Comical Eyes.mid,1909,"Mills, Kerry",S
2448,Pitt-Payne/Commonwealth Rag.mid,1914,"Tognini, May ",S
2452,Pitt-Payne/Comus.mid,1904,"Bruggeman, Carrie [Mrs  William Stark]",R
2489,Pitt-Payne/Contentment.mid,1915,"Lamb, Joseph F.",R
2492,Pitt-Payne/Continental  The.mid,1934,"Conrad, Con",S
2510,Pitt-Payne/Coon Behind The Gun  The.mid,1900,"Ephraim, Ellis R.",M
2523,Pitt-Payne/Coon Smiles.mid,1902,"Brill, Edwin S. ",R
2524,Pitt-Payne/Coon Town Chappie.mid,1901,"Fleischmann, Charles R.",R
2525,Pitt-Payne/Coon Up A Tree.mid,1900,"Schmull, Gustav",N
2527,Pitt-Payne/Coon With The Panama  The.mid,1902,"Vaughn, Jim & Lemonier, Tom ",S
2529,Pitt-Payne/Coon! Coon! Coon! .mid,1900,"Friedman, Leo",S
2539,Pitt-Payne/Coon's Eye  The.mid,1899,"Stearns, Walter",R
2546,Pitt-Payne/Coons Jubilee March  The.mid,1898,"Whiteman, W. V.",M
2545,Pitt-Payne/Coons in the Canebrake.mid,1900,"Clayson, M. S.",R
2559,Pitt-Payne/Coontown Capers .mid,1897,"Morse, Theodore F.",S
2560,Pitt-Payne/Coontown Carnival.mid,1898,"Myll, Louis",M
2574,Pitt-Payne/Coontown Vacation.mid,1900,"Brown, Charles B. ",R
2581,Pitt-Payne/Cootie Tickle.mid,1919,"Olman, Abe",S
2585,Pitt-Payne/Copenhagen.mid,1924,"Davis, Charlie",S
2611,Pitt-Payne/Corn-Shucks.mid,1908,"Kuhn, Ed E.",M
2608,Pitt-Payne/Cornfield Rag  The.mid,1912,"Robinson, J. Russel",S
