index,name,year,composer,type
13631,MacDonald/That Demon Rag.mid,1911,"Smith, Russell",R
13678,MacDonald/That Gosh-Darned Two Step Rag.mid,1913,"Miller, M. Kendree",R
13687,MacDonald/That Hindu Rag.mid,1910,"Cobb, George L.",R
13844,MacDonald/That Teasin' Rag.mid,1903,"Jordan, Joe",R
13849,MacDonald/That Texas Rag.mid,1913,"Watson, Nell Wright",R
14125,MacDonald/Toboggan Rag.mid,1912,"Barth, John F.",R
14178,MacDonald/Too Much Mustard (Tres Moutarde).mid,1911,"Macklin, Cecil",I
14179,MacDonald/Too Much Raspberry.mid,1916,"Russell, Sydney K.",F
14211,"MacDonald/Totally Different Rag, A.mid",1910,"Aufderheide, May Frances",R
14762,MacDonald/Walkin' On De Rainbow Road.mid,1899,"Roberts, S. M.",R
14888,MacDonald/Weary Walker's March.mid,1895,"Johnson, Charles L.",M
15155,MacDonald/White Wash Man The.mid,1908,"Schwartz, Jean",R
15169,MacDonald/Who Let The Cows Out?.mid,1910,"Humfeld, Charles",R
15181,MacDonald/Whoa! Maud.mid,1905,"Etter, Will H.",R
15212,MacDonald/Why We Smile.mid,1903,"Hunter, Charles H.",R
15224,MacDonald/Wild Cherries.mid,1908,"Snyder, Ted",R
4688,"Perry, incl ex Perry/Georgia Echoes.mid",1903,"Kelly, E. Harry",M
11797,"Perry, incl ex Perry/Sambo At De Cake Walk.mid",1896,"Marks, Alfred C. ",M
10914,Old Web and PRT/Ragtime In The Hollow.mid,n/a,"Tichenor, Trebor Jay",Y
868,"Misc Sequencers, unks/Beaumont Rag.mid",1928,"Traditional (possibly George Peacock, 1928)",R
4669,"Misc Sequencers, unks/General Lavine Eccentric.mid",1913,"Debussy, Claude",R
13293,"Misc Sequencers, unks/Syncopated Clock  The.mid",1951,"Anderson, Leroy",N
4627,O'Dell/Garden Walk  The.mid,1996,"Brier, Tom",Y
7816,O'Dell/Mad Scientist Rag.mid,2001,"O'Dell, Ron",Y
8543,O'Dell/Morgan Hill Rag.mid,2007,"O'Dell, Ron",Y
9563,O'Dell/Osawatomie.mid,2007,"O'Dell, Ron",Y
10321,O'Dell/Priority Rag.mid,2004,"O'Dell, Ron",Y
13453,O'Dell/Tattle-Tale Rag.mid,2003,"O'Dell, Ron",Y
10906,"O'Dell/Rag-Time Hullabaloo, A.mid",2008,"O'Dell, Ron",Y
94,Crausaz and Orton/Aeoleus.mid,1974,"Gordon, Thomas (Tom) Renton",Y
200,Crausaz and Orton/Alabama Hoe Down.mid,1899,"Hamilton, R. J.",R
234,Crausaz and Orton/Alakeefic.mid,1970,"Gordon, Thomas (Tom) Renton",R
801,Crausaz and Orton/Barbecue Rag.mid,1909,"Thornton, Mamie",R
